hotel_name,road_addr,hotel_id,region,market,결정 등급,객실수,호텔규모,업태구분명,속성정보,lat,lng
보우(VOW)관광호텔,계산동 1076-2번지 VOW관광호텔 계양구 인천광역시,10506,경기,국내,1성,73.0,100개 미만,관광호텔업,분류,37.5360352199443,126.735514000167
당진 호텔 로씨오,충남 당진시 송악읍 한진포구길 30-38,10507,충청,국내,2성,52.0,100개 미만,관광호텔업,분류,36.9695409644919,126.78156815004
호텔스테이온,경남 거제시 장평1로9길 21-4,10508,경상,국내,3성,63.0,100개 미만,가족호텔업,분류,34.8927516730822,128.610412246826
웨스트나인호텔,경기도 김포시 김포한강9로75번길 64,10509,경기,국내,2성,65.0,100개 미만,관광호텔업,분류,37.4108043,127.1268058
동대문 호텔,서울 종로구 종로 286,10510,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5708583552678,127.010348326711
온더웨이브 호텔,울산 울주군 서생면 간절곶해안길 37,10511,경상,국내,1성,30.0,100개 미만,관광호텔업,분류,35.3561114892335,129.350352506545
셀립여의,서울 영등포구 영등포로 389,10512,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5138511437875,126.921606160299
유니온관광호텔,대구 중구 태평로 117,10513,경상,국내,미등급,미분류,200개 이상,미분류,미분류,35.8761405472651,128.590727070068
호텔 더 디자이너스 청량리,서울 동대문구 왕산로 226,10514,서울,국내,1성,79.0,100개 미만,관광호텔업,분류,37.5817146476483,127.047641206863
프린스 행복호텔,전남 강진군 강진읍 보은로 113-1,10515,전라,국내,1성,56.0,100개 미만,관광호텔업,분류,34.6372206448304,126.771311435019
와이 호텔,서울 은평구 응암로9길 6-11,10516,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5878623198489,126.915899413709
임피리얼 팰리스 서울,서울 강남구 언주로 640,10517,서울,국내,미등급,미분류,200개 이상,미분류,미분류,37.5140981298028,127.03588476883
하운드가든&테라스호텔,부산 해운대구 구남로12번길 55,10518,부산,국내,미등급,73.0,100개 미만,일반호텔,분류,35.1611696343347,129.157041876244
히어로웍스 데이터수집,부산 해운대구 센텀서로 30,10519,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1720591571479,129.128432630796
히어로웍스 데이터 수집 1-400,부산 해운대구 센텀서로 30,10520,부산,국내,미등급,미분류,200개 이상,미분류,미분류,35.1720591571479,129.128432630796
라온컨벤션,대전 유성구 온천로 88,10521,충청,국내,미등급,미분류,200개 이상,미분류,미분류,36.3540209648848,127.347355800292
